No.;Time;Comment;Scramble;Date;P.1
805;13.22;;F2 L D' F2 U L2 D R2 U L2 U L2 D2 F L2 F L' B R U2 B';2026-06-27 19:03:30;13.22
806;16.97;;L F2 U R2 U2 R2 B2 U' R2 U2 F2 U' B F U' F' D U L';2026-06-27 19:03:54;16.97
807;15.08;;B' R2 D F2 L2 F2 R2 D' F2 D B2 R2 L' B' D2 U2 L R' D B';2026-06-27 19:04:26;15.08
808;12.71;;F' R2 D2 F' D2 F D2 F D2 L2 F L2 U' L' B' F' D F U F' U';2026-06-27 19:04:52;12.71
809;14.43;;D2 B' L2 D2 B2 U2 R2 U2 B' L2 D2 U B2 U F' R2 U2 L D' R2;2026-06-27 19:06:47;14.43
810;11.82;;B' L U2 F2 D' F R L F' D2 R2 D2 F U2 F U2 F' D2 F' U;2026-06-27 19:07:13;11.82
811;10.87;;L2 R2 D F2 D' B2 R2 B2 D R2 U' F2 R B L' F L D' U2 L U;2026-06-27 20:48:49;10.87
812;12.47;;R2 D R2 B' R' U' R U' L' R2 U2 F2 D' F2 D R2 U2 R2 D B2;2026-06-27 20:49:11;12.47
813;12.62;;B R F' D' L U2 B' L' B2 U2 F' U2 L2 B R2 B L2 D2 B2 L2;2026-06-27 20:49:49;12.62
814;12.43;;B2 U D2 B R2 B L2 F2 R2 F D2 F U2 L B2 R' F' R' U B' F';2026-06-27 20:50:13;12.43
815;15.05;;D L2 U' F2 L2 U' F2 U R2 F2 D2 L' F2 R U F' R' B2 F2 R2;2026-06-27 20:50:48;15.05
816;15.09;;F' U' B2 U F2 D' R2 D2 L2 U B2 F2 U' R B R2 U R F L2 F;2026-06-27 20:51:19;15.09
817;14.96;;F D R2 D L B U2 B2 L' U L2 F2 U' F2 D' L2 D2 B2 R2 D';2026-06-27 20:51:44;14.96
818;12.07;;R D2 F2 L' D2 L2 U2 L U2 B2 R2 F' L' D U2 F2 D2 U B2 F;2026-06-27 20:52:09;12.07
819;15.98;;U' R F2 L2 D2 L2 D B2 F2 D2 L2 F2 U F' D R B U L2 D' U';2026-06-27 20:52:32;15.98
820;12.25;;R2 U D B2 L' U F U2 R' U2 L2 U2 D2 F2 L F2 D2 R2 F D2;2026-06-27 20:52:58;12.25
821;16.54;;D' F D' L D' R U' L F R' B2 D2 B2 L U2 F2 L' U2 R;2026-06-27 20:53:22;16.54
822;13.11;;F2 R2 D2 L' U' F2 L2 F B2 U L2 D2 F2 R2 F2 D' B2 R2 U' B2 F;2026-06-27 20:53:49;13.11
823;10.10;;L2 R2 B R2 U2 B D2 F2 L2 F2 L' D R' F U B' L D2 L2 B2;2026-06-27 20:54:12;10.10
824;11.02;;U' R2 D2 R D2 F2 R' B2 R' B' U F D2 R' U' L D;2026-06-27 20:54:38;11.02
825;17.68;;U' L' F U L B' L R2 U' B2 R2 B2 D2 L2 D' B2 U' D' B2 R' U2;2026-06-27 20:55:00;17.68
826;14.51;;D2 F' B2 U' R2 D2 U' L2 R2 F2 D B2 F U' R B2 R2 B' F2 D';2026-06-27 20:55:29;14.51
827;15.08;;D2 L2 U F2 R2 F2 D2 B2 F2 U' B2 U2 B' L B R2 B2 F' U' F2 L2;2026-06-27 20:55:55;15.08
828;15.23;;F2 D2 L R F2 U2 R U2 B2 D2 L2 F L' F D2 R2 B D' F U';2026-06-27 20:56:38;15.23
829;10.71;;U2 L2 D' F2 U L2 B2 D' B2 F2 U2 B2 F D U2 L2 B U F D2 R;2026-06-27 20:57:02;10.71
830;13.31;;U' L B' U2 F R2 U2 B' U2 B' F2 U2 L2 D' R2 B2 L B U2 L2;2026-06-27 20:57:39;13.31
831;14.20;;F2 R' F2 R2 U' R2 B2 U R2 D R2 B2 F2 U B' L' B F L F' U;2026-06-27 20:58:03;14.20
832;11.77;;U R2 F U2 F' L2 F L2 R2 F' D2 U2 F2 R' F2 R D L' R2 F2 L2;2026-06-27 20:58:30;11.77
833;12.66;;R D2 F2 B L' U2 F U B' R2 D B2 R2 U B2 U' F2 D' R2 F2 R2;2026-06-27 20:58:53;12.66
834;11.75;;R F2 U2 L2 D2 B' D2 U2 R2 B' F' U2 F' L B2 U R U' R B2;2026-06-27 20:59:15;11.75
835;12.29;;R2 B2 U2 F2 R' D2 L B2 U2 F2 R2 D' R B2 D L' F2 L' F' R D;2026-06-27 20:59:37;12.29
836;11.05;;R2 F U2 R2 D2 U2 F2 L2 B D2 B2 R2 U' L' B R F' L R2 D';2026-06-27 21:00:01;11.05
837;12.37;;D B2 R2 U L2 B2 U R2 F2 D R2 B2 L R' B' F2 L' F' D2 L F';2026-06-27 21:00:20;12.37
838;12.34;;U R2 U' B2 D' B2 F2 D' U2 L2 D' L B' R2 D2 U L B U' F L2;2026-06-27 21:00:42;12.34
839;13.67;;U' L' U F' D2 R2 L B' L' D L2 U' R2 B2 D2 F2 D L2 U2 F2;2026-06-27 21:01:05;13.67
